_id,Ward1992 Code,Ward1992 Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour
2726,95RR09,Gresteel,2014,35,17,18,1545,59,462,977,1574,1997,0,0,39,23,4,16,59
2727,95RR10,Greystone,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2728,95RR11,Magilligan,2014,62,46,16,4811,81,1238,3486,5339,11579,5,0,82,57,19,39,140
2729,95RR12,Rathbrady,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2730,95RR13,Roeside,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2731,95RR14,The Highlands,2014,87,61,26,5347,94,748,4564,7105,12853,75,45,114,67,27,43,184
2732,95RR15,Upper Glenshane,2014,95,92,3,7935,62,18,7814,3980,34939,2,36,122,74,26,50,198
2733,95SS01,Ballinderry,2014,99,18,81,3997,71,493,3447,6270,4559,5,155,122,67,34,60,216
2734,95SS02,Ballymacash,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2735,95SS03,Ballymacbrennan,2014,130,22,108,4887,81,657,4168,7872,7434,4280,31,156,80,41,60,257
2736,95SS04,Ballymacoss,2014,11,10,1,332,44,3,327,490,90,0,0,13,5,4,18,35
2737,95SS05,Blaris,2014,13,1,12,474,82,247,226,358,194,9,0,17,9,3,14,34
2738,95SS06,Collin Glen,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2739,95SS07,Derryaghy,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2740,95SS08,Dromara,2014,109,72,37,4039,77,123,3889,9075,10300,1080,6,127,79,45,45,217
2741,95SS09,Drumbo,2014,45,2,43,1638,94,172,1448,3996,206,1,0,53,28,21,27,101
2742,95SS10,Dunmurry,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2743,95SS11,Glenavy,2014,161,144,17,6064,58,353,5668,8953,3649,10,135,191,94,40,84,315
2744,95SS12,Harmony Hill,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2745,95SS13,Hilden,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2746,95SS14,Hillhall,2014,10,0,10,311,118,110,198,484,0,1437,0,13,6,2,5,20
2747,95SS15,Hillsborough,2014,42,0,42,1726,101,287,1413,3652,672,2202,0,58,28,17,34,109
2748,95SS16,Kilwee,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2749,95SS17,Knockmore,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2750,95SS18,Lagan Valley,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2751,95SS19,Lambeg,2014,6,0,6,284,174,94,190,525,0,0,0,7,4,1,6,14
2752,95SS20,Lisnagarvy,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2753,95SS21,Magheraberry,2014,65,3,62,2460,108,834,1610,3907,1306,3700,105,80,51,22,31,133
2754,95SS22,Magheralave,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2755,95SS23,Maze,2014,18,0,18,759,93,199,544,1092,126,0,0,22,10,5,21,48
2756,95SS24,Moira,2014,22,0,22,1497,209,445,1037,2994,1073,0,178,29,19,12,26,67
2757,95SS25,Old Warren,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2758,95SS26,Poleglass,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2759,95SS27,Seymour Hill,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
