Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000436,Route,2017,40,6,34,1694.3,76,52.9,1585.2,3132,2463,0,49.01,52,32,10,16,78
N08000437,Torr Head and Rathlin,2017,217,213,3,18473.1,46,51,18214.9,7657,85680,17,0,268,162,57,115,440
N08000438,University,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000439,Waterside,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000440,Windy Hall,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000501,Artigarvan,2017,76,54,22,4665.1,81,115.7,4446.3,6505,13572,14,0,103,57,27,46,176
N08000502,Ballycolman,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000503,Ballymagroarty,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000504,Brandywell,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000505,Carn Hill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000506,Castlederg,2017,55,51,3,2150.1,71,1.7,2117.5,4299,6077,47,0,66,38,11,25,102
N08000507,Caw,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000508,City Walls,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000509,Claudy,2017,101,94,7,4864.5,33,103,4557.5,4148,14228,40,0,124,64,22,46,192
N08000510,Clondermot,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000511,Creggan,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000512,Creggan South,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000513,Culmore,2017,11,3,10,838.7,82,294.1,519.6,622,386,0,0,13,8,3,3,18
N08000514,Drumahoe,2017,7,3,3,184.8,15,9.4,173.6,131,212,0,0,7,3,0,3,8
N08000515,Dunnamanagh,2017,222,207,15,12672.5,61,290.9,12132.6,13594,42666,253,37.64,267,141,48,102,417
N08000516,Ebrington,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000517,Eglinton,2017,17,13,3,696.5,116,53.2,612.4,600,1986,0,0,20,10,0,15,35
N08000518,Enagh,2017,47,5,42,3221.5,121,1016.2,2135.1,4082,3586,0,0,58,43,19,43,120
N08000519,Finn,2017,75,48,27,4107.6,130,203.9,3805.3,6451,6733,8171,78.21,104,70,17,31,152
N08000520,Foyle Springs,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000521,Galliagh,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000522,Glenderg,2017,324,307,17,13617.6,58,52.9,13418.5,13824,52501,16932,51.06,377,200,69,117,563
N08000523,Glenelly Valley,2017,313,283,30,17579.1,50,337.8,17037.5,13416,63326,924,75.6,374,220,77,116,567
N08000524,Kilfennan,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000525,Lisnagelvin,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000526,Madam's Bank,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000527,New Buildings,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000528,Newtownstewart,2017,121,70,51,9080.7,166,501.3,6936.1,14497,12945,2096,124.17,155,103,34,86,275
N08000529,Northland,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000530,Park (Derry City and Strabane),2017,207,203,3,11610.5,48,62.6,11392.8,8635,54866,625,11,244,131,56,100,400
N08000531,Shantallow,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000532,Shantallow East,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000533,Sheriff's Mountain,2017,20,10,10,1269.5,106,256.6,975.3,1698,1449,0,0,27,18,11,20,58
N08000534,Sion Mills,2017,46,19,27,1901.4,151,171.8,1688.7,4785,575,0,78.65,62,46,13,33,108
N08000535,Skeoge,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000536,Slievekirk,2017,96,59,37,6700.8,138,634.2,5967.4,13223,16373,39,21,128,86,24,69,221
N08000537,Springtown,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000538,Strabane North,2017,10,6,3,333.9,32,8.3,322,470,479,0,0,11,6,3,9,22
N08000539,Strabane West,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000540,Victoria (Derry City and Strabane),2017,5,5,0,224.8,126,19.8,204.5,635,334,0,0,8,6,3,0,10
N08000601,Ballinamallard,2017,94,94,0,3543.6,46,0,3492.1,5953,4654,0,0,107,63,28,34,169
N08000602,Belcoo and Garrison,2017,252,251,3,11130.6,19,0.5,10818.4,8309,4192,5,0,291,140,65,47,403
N08000603,Belleek and Boa,2017,230,228,3,9892.5,28,0,9682.1,8555,15375,0,16,261,132,48,55,364
N08000604,Beragh,2017,138,88,50,5928.5,92,86.7,5623.9,11687,9331,696,153.1,177,98,32,72,281
N08000605,"Boho,Cleenish and Letterbreen",2017,221,220,3,8808.2,32,15.2,8623.4,9345,7664,0,16,248,122,60,71,379
N08000606,Brookeborough,2017,191,183,8,7460.2,67,12.1,7189.3,13935,5955,1982,17.29,238,132,56,66,360
N08000607,Camowen,2017,12,7,5,765.7,116,7.6,734.2,1423,328,0,0,14,8,3,11,26
N08000608,Castlecoole,2017,10,9,3,461,24,10.2,242.4,297,147,0,0,10,3,3,3,16
N08000609,Coolnagard,2017,5,5,0,227.7,14,0,227.7,56,617,0,0,5,3,0,0,5
N08000610,Dergmoney,2017,6,5,3,187.1,113,0,185.1,91,603,0,70,6,3,3,0,7
N08000611,Derrygonnelly,2017,190,188,3,9384.5,47,70.8,9104.9,10851,6206,55,47.6,227,139,42,44,313
N08000612,Derrylin,2017,215,214,3,7381.3,41,10.3,7296,11971,7780,0,42.57,242,144,49,56,347
N08000613,Donagh,2017,162,160,3,6760.8,95,0,6702.6,11249,2886,0,494.59,184,115,32,143,359
N08000614,Dromore (Fermanagh and Omagh),2017,97,96,3,3925.9,78,50.6,3841.2,6020,5438,14,85.97,116,56,17,48,181
N08000615,Drumnakilly,2017,90,89,3,3201.9,62,0,3108.3,4257,5835,6306,55,103,55,20,21,144
N08000616,Drumquin,2017,232,228,3,10174.3,41,31.7,9908.5,9697,21628,1992,55.28,272,134,40,79,391
N08000617,Ederney and Kesh,2017,132,131,3,5638.3,33,0,5574,6870,9541,0,0,155,81,31,38,224
N08000618,Erne,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000619,Fairy Water,2017,191,175,16,9802.5,109,152.2,9277.9,16966,16666,7329,84.59,252,168,61,102,415
N08000620,Fintona,2017,125,121,3,4650.6,103,15.7,4599.5,8885,7524,15777,51.44,150,91,26,46,222
N08000621,Florence Court and Kinawley,2017,279,279,0,12616.8,37,5.9,12496.3,13339,20090,0,74.84,345,185,71,92,508
N08000622,Gortin,2017,122,109,13,6720.3,98,37.6,6543.6,10418,21384,2748,101.2,156,93,37,67,260
N08000623,Gortrush,2017,7,3,3,340.9,59,13,260.2,285,881,0,0,9,3,3,3,14
N08000624,Irvinestown,2017,108,106,3,3511.6,41,0.1,3476,5149,3927,0,17.96,135,55,21,30,186
N08000625,Killyclogher,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000626,Lisbellaw,2017,109,106,3,4390.1,72,1.6,4308,8500,3075,0,0,126,67,27,62,215
N08000627,Lisnarrick,2017,83,83,0,4253.3,63,6,4111,5985,7342,0,23.2,101,58,20,40,161
N08000628,Lisnaskea,2017,16,15,3,383.3,14,0.4,378,407,267,0,0,17,6,3,3,21
N08000629,Maguiresbridge,2017,179,178,3,6852.7,63,0.6,6798.6,12683,10570,0,0,212,120,53,62,327
N08000630,Newtownbutler,2017,151,150,3,6261.1,77,9.6,6093.6,10734,3348,0,258.55,183,115,54,56,293
N08000631,Newtownsaville,2017,210,196,14,7480.8,82,15.1,7281,15385,13430,5492,363.2,251,161,47,95,393
N08000632,Owenkillew,2017,255,254,3,11431.6,28,25,11226.5,7802,30327,0,34.59,290,153,60,72,422
N08000633,Portora,2017,7,7,0,686.1,30,0,686.1,207,1478,0,0,7,6,3,0,9
N08000634,Rosslea,2017,205,205,0,6098,34,12,6021.2,9525,4755,0,64.5,262,128,47,44,353
N08000635,Rossorry,2017,14,14,0,357.3,13,0,354.8,281,434,0,0,16,7,6,3,23
N08000636,Sixmilecross,2017,193,189,3,7607.8,61,2.9,7512.2,12405,12482,1266,253.3,222,129,31,55,308
N08000637,Strule,2017,5,5,0,72.6,125,0,72.6,21,68,0,34,6,3,0,3,8
N08000638,Tempo,2017,182,181,3,7237.4,48,17.6,7035.3,9675,7249,188,43.65,223,112,48,44,315
N08000639,Termon,2017,185,184,3,5832.9,61,9,5567.2,7660,3695,0,440.61,209,107,26,44,279
N08000640,Trillick,2017,209,206,3,6978.3,49,5,6864,11196,9662,0,0.07,249,133,39,67,355
N08000701,Ballinderry,2017,62,9,53,2301.3,75,328.7,1941,3561,3082,0,146.79,69,40,20,31,120
N08000702,Ballyhanwood,2017,19,0,19,795.9,125,114.9,679.5,1446,649,65,0,28,20,3,23,55
N08000703,Ballymacash,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000704,Ballymacbrennan,2017,83,21,62,3254.3,86,274.8,2873.7,6373,7314,0,127.7,94,54,28,35,157
N08000705,Ballymacoss,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000706,Beechill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000707,Blaris,2017,11,0,11,490.5,79,255.3,228.5,321,49,0,0,14,6,3,3,19
N08000708,Cairnshill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000709,Carrowreagh,2017,5,3,3,1862.4,286,204.2,972.7,820,1839,0,0,7,3,3,22,30
N08000710,Carryduff East,2017,22,0,22,868.8,78,47.7,809.7,1648,218,0,0,29,19,9,20,58
N08000711,Carryduff West,2017,6,0,6,312.5,130,40,270.9,1065,216,0,0,11,5,3,3,15
N08000712,Derryaghy,2017,5,3,3,105.4,13,0,105.2,100,39,0,0,6,3,3,3,8
N08000713,Dromara,2017,96,72,24,3605.5,72,72,3490.5,7185,9580,1273,0,120,69,33,42,195
N08000714,Drumbo,2017,41,3,40,1706,106,161.7,1526.9,4461,426,0,0,55,33,16,18,89
N08000715,Dundonald,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000716,Enler,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000717,Galwally,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000718,Glenavy,2017,63,53,10,2146.3,65,354.1,1781.2,4009,716,0,8.78,72,39,15,30,117
N08000719,Graham's Bridge,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000720,Harmony Hill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000721,Hilden,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000722,Hillhall,2017,10,3,9,435.4,107,92.8,342.6,634,191,1488,0,16,9,3,5,22
N08000723,Hillsborough,2017,43,3,42,1403.6,89,126.1,1270.6,3141,718,2848,0,54,24,9,27,90
N08000724,Knockbracken,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000725,Knockmore,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000726,Lagan,2017,64,3,62,3177.4,127,1040.7,2113.4,6294,1830,0,88.68,80,51,28,39,147
N08000727,Lagan Valley,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000728,Lambeg,2017,7,0,7,261.2,148,103,158.2,495,7,0,0,9,6,3,3,13
N08000729,Lisnagarvey,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000730,Maghaberry,2017,39,0,39,1609.6,127,341.2,1255.5,2106,2422,3734,173.3,48,34,8,14,70
N08000731,Magheralave,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000732,Maze,2017,17,0,17,822.7,86,268,537.7,1470,324,0,0,24,10,5,14,43
N08000733,Moira,2017,8,3,7,519.6,192,169.9,349.7,648,0,0,95,8,6,3,3,13
N08000734,Moneyreagh,2017,33,3,30,1676.2,129,197.3,1464.8,4269,836,0,0,46,31,14,18,78
N08000735,Newtownbreda,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000736,Old Warren,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000737,Ravernet,2017,68,3,67,2487.1,118,443.1,1987,4943,1369,6811,22.6,84,42,21,51,156
N08000738,Stonyford,2017,121,99,22,5032.2,52,111.6,4868.2,6988,4476,0,100,145,72,32,53,230
N08000739,Wallace Park,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000740,White Mountain,2017,11,9,3,421.4,53,6.8,406.2,714,57,0,0,13,6,3,14,30
N08000801,Academy,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000802,Ahoghill,2017,18,3,15,703.8,97,21.5,672.8,1822,1249,278,23,20,10,9,3,33
N08000803,Ardeevin,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000804,Ballee and Harryville,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000805,Ballycarry and Glynn,2017,64,62,3,3071.3,88,13.5,2986.3,5493,8347,231,60.95,78,48,22,27,127
N08000806,Ballykeel,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000807,Boneybefore,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000808,Braidwater,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000809,Broughshane,2017,31,15,16,998,227,59.1,923.7,2092,3005,0,467.3,39,23,8,63,110
N08000810,Burleigh Hill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000811,Cairncastle,2017,50,49,3,2902.9,58,26.8,2847.8,2103,18723,0,24,58,33,17,27,102
N08000812,Carnlough and Glenarm,2017,151,151,0,10451.9,53,24.7,10320.7,6822,40276,5,105.36,172,110,46,71,289
N08000813,Castle (Mid and East Antrim),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000814,Castle Demesne,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000815,Craigyhill,2017,6,5,3,169.1,82,5.9,162.7,391,205,0,0,8,3,3,9,19
N08000816,Cullybackey,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000817,Curran and Inver,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000818,Fair Green,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000819,Galgorm,2017,17,3,13,422.8,22,14.9,403.1,664,874,0,0,17,8,6,6,29
N08000820,Gardenmore,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000821,Glenravel,2017,170,142,28,7652.5,88,104.1,7477.6,9041,29889,539,485.74,195,121,43,63,301
N08000822,Glenwhirry,2017,181,151,30,8833.9,63,56.3,8689.5,11529,28509,1709,157.65,210,131,58,74,342
N08000823,Gortalee,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000824,Grange,2017,130,109,21,5129.1,101,121.6,4968.2,13776,5140,257,88.39,157,99,44,75,276
N08000825,Greenisland,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000826,Islandmagee,2017,49,45,3,1952.2,87,2.3,1941.3,3754,6241,29,15,56,29,16,30,102
N08000827,Kells,2017,38,25,13,1552.7,87,35.4,1512.6,2611,5373,0,110.92,45,24,12,15,72
N08000828,Kilroot,2017,18,18,0,858.1,44,0.2,770.3,1036,3954,0,0,24,15,3,17,43
N08000829,Kilwaughter,2017,136,132,3,8085.9,112,55.9,8002.4,12011,29522,10102,95.4,173,103,35,61,269
N08000830,Kirkinriola,2017,130,16,114,4973.4,123,73.3,4832.5,11720,6182,595,323.78,177,118,41,50,268
N08000831,Love Lane,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000832,Maine,2017,130,88,42,4496.2,116,150.4,4261.6,10296,6194,73,463.37,176,97,30,58,264
N08000833,Park (Mid and East Antrim),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000834,Portglenone,2017,108,71,37,2968.6,79,167.8,2740.5,6842,2359,112,260.37,128,68,27,33,188
N08000835,Slemish,2017,236,192,44,14203.6,84,172,13818.6,15295,51410,0,495.61,296,187,76,105,477
N08000836,Sunnylands,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000837,The Maidens,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000838,Victoria (Mid and East Antrim),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000839,Whitehead South,2017,5,5,0,529.9,135,0,529.3,1094,718,0,0.68,8,6,3,3,12
N08000840,Woodburn,2017,96,93,3,2655.5,44,1.7,2601.4,3410,11496,1683,28.3,109,57,30,32,171
N08000901,Ardboe,2017,104,73,31,3424.9,101,172.1,3239.2,9210,1309,1716,236.61,134,77,14,39,187
N08000902,Augher and Clogher,2017,212,199,13,6859.5,125,18.9,6747.9,14119,6482,8876,1331.87,254,145,52,74,380
N08000903,Aughnacloy,2017,183,175,8,5858.2,103,5.8,5811.8,12160,10171,22,293.7,223,111,57,80,360
N08000904,Ballygawley,2017,189,188,3,6315.6,62,9.7,6232.6,12450,5479,1311,245.3,220,122,33,68,321
N08000905,Ballymaguigan,2017,73,36,37,2536.7,68,161.4,2352.7,6464,1637,1007,0,89,55,21,40,150
N08000906,Ballysaggart,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000907,Bellaghy,2017,122,115,7,3703.9,63,210.1,3463.1,7587,2285,6682,59.79,144,70,18,44,206
N08000908,Caledon,2017,214,136,78,7687.3,146,288.7,7133.2,17776,5567,9973,1233.56,273,156,62,126,461
N08000909,Castlecaulfield,2017,114,99,15,3133,101,28.6,3091.2,7427,3524,5865,468.68,137,69,36,50,223
N08000910,Castledawson,2017,71,41,30,1942.3,45,139.5,1742,3699,2442,375,12.55,86,40,15,34,135
N08000911,Coagh,2017,83,13,70,2748.7,155,174.7,2548.9,6758,2073,26619,58.03,100,59,27,36,163
N08000912,Coalisland North,2017,31,3,27,647.4,54,16,626.8,1500,377,0,31.82,34,9,7,6,47
N08000913,Coalisland South,2017,7,3,3,121.6,50,0,121.6,202,0,0,14,11,3,3,3,17
N08000914,Cookstown East,2017,15,5,10,317.6,59,23.5,292.1,682,495,0,13.7,15,6,3,3,21
N08000915,Cookstown South,2017,6,5,3,68.1,8,0,68.1,71,175,0,0,6,0,0,3,8
N08000916,Cookstown West,2017,7,3,6,198.8,50,0,198.8,401,27,0,0,9,5,3,3,14
N08000917,Coolshinny,2017,136,48,88,4490.9,70,314.2,4089.1,9281,8068,6690,56.29,164,84,35,58,257
N08000918,Donaghmore,2017,191,119,72,5595.3,119,118.5,5439.5,13874,3668,2791,1088.01,223,126,45,107,375
N08000919,Draperstown,2017,108,104,3,7850.4,27,15.1,7727.6,3088,21807,0,0,127,60,17,45,189
N08000920,Fivemiletown,2017,222,161,61,10828.4,148,21.2,10162.4,18228,9053,78319,139.27,261,158,53,95,409
N08000921,Glebe (Mid Ulster),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000922,Killyman,2017,90,23,67,2831.1,76,74.5,2686.3,6550,2046,279,141.04,111,52,21,35,167
N08000923,Killymeal,2017,19,3,15,466.8,61,3.1,461.7,1464,371,0,0,20,6,5,8,33
N08000924,Lissan,2017,195,127,68,6986.2,78,228.9,6686.3,12870,19258,16509,71.87,238,133,50,92,380
N08000925,Loughry,2017,38,12,26,1623.3,134,5,1599,3231,2920,566,248.99,46,26,16,22,84
N08000926,Lower Glenshane,2017,191,184,7,8729.9,40,73.1,8573.3,4955,37489,0,140.44,225,100,35,76,336
N08000927,Maghera,2017,13,8,5,363.5,43,0,351,741,921,0,0,15,7,3,7,24
N08000928,Moy,2017,89,3,87,3772.2,125,164.7,3573.6,7936,1568,493,448.45,106,65,15,30,151
N08000929,Moygashel,2017,9,3,6,276.8,171,0,272.9,579,46,0,97.71,9,7,3,3,12
N08000930,Mullaghmore,2017,13,3,11,203.4,27,10.5,192.9,581,320,42,0,13,3,3,3,18
N08000931,Oaklands,2017,261,231,30,8235.5,49,29.5,8099.6,12868,13515,1231,268.44,320,147,62,85,467
N08000932,Pomeroy,2017,242,222,20,6559.1,80,55.7,6424.1,11598,8697,1722,951.07,287,148,55,86,428
N08000933,Stewartstown (Mid Ulster),2017,143,14,129,5366.6,186,185.6,5139.4,15980,5010,42078,186.23,188,116,40,78,306
N08000934,Swatragh,2017,169,157,12,6302.4,30,77.8,6125.5,6235,17595,0,35.9,206,84,34,49,289
N08000935,Tamlaght O'Crilly,2017,136,74,62,3945.1,48,214.2,3679.6,7335,12752,3843,0,162,82,31,48,241
N08000936,The Loup,2017,127,5,122,4354,91,188.8,4084,11761,3655,5022,18.7,158,89,24,65,247
N08000937,Tobermore,2017,129,71,58,5380.2,75,250.4,4922.4,9361,13218,4036,17.6,160,93,37,52,249
N08000938,Town Parks East,2017,5,3,3,274.5,24,0,274.5,104,147,0,0,5,3,3,3,8
N08000939,Valley (Mid Ulster),2017,121,73,48,4122.3,80,228,3824.1,10327,3414,894,28,152,82,23,43,218
N08000940,Washing Bay,2017,81,54,27,1688.2,29,11.3,1659,3831,170,0,7.5,96,33,15,31,142
N08001001,"Abbey (Newry, Mourne and Down)",2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001002,Annalong,2017,105,77,28,3016.7,51,75.9,2930.6,5164,11013,1158,0.6,132,61,23,45,200
N08001003,Ballybot,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001004,Ballydugan,2017,137,47,90,4768.1,51,543,4145.5,8022,12625,3749,0,162,94,30,62,254
N08001005,Ballynahinch,2017,6,3,3,129.8,65,7.3,122.2,326,371,1000,0,6,3,0,3,7
N08001006,Ballyward,2017,301,274,27,10215.9,42,239.3,9863.8,15816,38705,2510,9.84,357,179,72,102,531
N08001007,Bessbrook,2017,9,9,0,130.6,101,3.3,124.2,88,165,0,0,12,5,3,10,24
N08001008,Binnian,2017,112,64,48,2494.8,57,207.2,2262.2,5277,11123,4727,0,146,70,29,38,213
N08001009,Burren,2017,63,59,3,1743.8,43,14.6,1585.6,3094,4126,434,0.6,82,39,13,23,118
N08001010,Camlough,2017,116,112,3,3277.6,53,23.5,3213.2,7731,4296,11,24.7,138,63,16,46,200
N08001011,Castlewellan,2017,73,62,11,1605.8,21,45.8,1549.1,2402,4462,0,0,96,35,15,18,129
N08001012,"Cathedral (Newry, Mourne and Down)",2017,8,3,6,223.8,19,67.4,154.3,106,288,0,0,10,3,0,3,13
N08001013,Crossgar and Killyleagh,2017,24,11,13,1036.4,137,58.7,942.8,1367,1376,9731,0,28,16,8,14,50
N08001014,Crossmaglen,2017,172,169,3,2726.1,22,0,2691.8,6927,575,0,0,190,62,24,28,242
N08001015,Damolly,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001016,Derryboy,2017,100,45,55,4054.7,95,379.4,3586.8,7113,10009,14309,0,120,69,37,45,202
N08001017,Derryleckagh,2017,91,86,5,2039,46,29,2000.1,4456,2688,2806,74,106,55,17,24,147
N08001018,Donard,2017,8,8,0,255.6,15,0,254.8,141,740,0,0,8,3,3,3,13
N08001019,Drumalane,2017,10,10,0,172.9,24,0,171.4,313,71,0,0,10,5,3,3,14
N08001020,Drumaness,2017,95,90,5,2831.7,48,25.9,2781.2,5377,4013,691,91,107,55,20,30,157
N08001021,Dundrum,2017,84,13,71,3254.8,80,532.2,2663.2,6055,6039,596,65.2,106,65,19,58,183
N08001022,Fathom,2017,122,119,3,2279.2,35,14.7,2248.9,4936,4116,3576,29.27,134,50,12,21,167
N08001023,Forkhill,2017,139,134,5,2992.3,29,5,2948.5,5935,2671,145,0,152,52,21,54,227
N08001024,Hilltown,2017,267,186,81,7725.3,54,761.7,6932.8,11987,36382,21,102.1,318,159,72,180,570
N08001025,Kilkeel,2017,27,7,20,821.8,64,158.8,655.9,1525,2745,1971,0,38,16,9,10,57
N08001026,Kilmore,2017,126,112,14,4483.6,62,89.6,4359.3,8514,6926,1907,81.49,149,77,50,60,259
N08001027,Knocknashinna,2017,9,5,3,286.7,48,10,276.7,585,0,0,0,14,3,3,6,21
N08001028,Lecale,2017,75,3,73,3965.6,98,639.2,3276.3,8167,10024,1990,42.58,97,66,27,46,170
N08001029,Lisnacree,2017,207,143,64,6193.5,48,323.6,5836.3,8412,28920,4167,32.4,254,130,55,86,395
N08001030,Mayobridge,2017,163,56,107,4302,84,322.8,3954.6,11021,6950,3092,277.14,199,102,41,66,306
N08001031,Mullaghbane,2017,209,203,6,4253,29,16,4185.5,10082,2988,0,84,222,88,34,40,296
N08001032,Murlough,2017,16,6,10,1139.4,140,227.2,910,2566,557,0,0,27,13,6,17,50
N08001033,Newtownhamilton,2017,313,305,8,7106.8,45,20,7049.4,17375,6376,174,161.75,362,181,73,66,501
N08001034,Quoile,2017,45,36,9,2113.4,47,162.8,1775.3,3324,3150,78,0.3,60,28,12,24,96
N08001035,Rostrevor,2017,63,61,3,1110.9,14,0,1105,1030,6687,131,0,75,17,12,9,96
N08001036,Saintfield,2017,31,14,17,9825.6,98,41.6,2282.4,2192,2616,0,79.32,41,24,9,26,76
N08001037,St. Patrick's,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001038,Strangford,2017,126,39,87,5934.4,80,796.7,5001.5,12205,6827,0,0,161,99,37,71,269
N08001039,Tollymore,2017,240,189,51,7132.3,43,228.1,6853.7,8455,34808,3354,190.5,283,138,59,86,428
N08001040,Warrenpoint,2017,6,5,3,75.6,8,0,74.6,33,460,0,0,7,3,0,0,7
N08001041,Whitecross,2017,166,114,52,6287.3,128,359.3,5878.9,19085,5648,4777,228.74,200,120,47,75,322
N08001101,Ballycrochan,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001102,Ballygowan,2017,62,26,36,2516.8,106,497.5,1952.8,4722,3679,736,15,81,52,18,41,140
N08001103,Ballygrainey,2017,10,0,10,390.9,135,65.3,313.1,1172,366,0,0,11,9,0,10,21
N08001104,Ballyholme,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001105,Ballymagee,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001106,Ballywalter,2017,52,3,48,2728.4,127,538.3,2035.6,6136,4463,0,0,73,46,16,30,119
N08001107,Bloomfield (Ards and North Down),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001108,Broadway,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001109,Bryansburn,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001110,Carrowdore,2017,68,0,68,3102.3,148,541,2519.5,7454,6892,0,37.63,90,54,27,36,153
